COUNTY,CFIPS,YEAR,AGE,GENDER,Labor Force,Universe,Participation Rate
Colorado,,,,,"3,093,741","4,542,950",68.1
Adams County,1,,,,"273,677","395,954",69.12
Alamosa County,3,,,,"8,447","12,610",66.99
Arapahoe County,5,,,,"360,075","516,168",69.76
Archuleta County,7,,,,"6,776","11,521",58.82
Baca County,9,,,,"1,960","2,812",69.72
Bent County,11,,,,"2,015","3,715",54.25
Boulder County,13,,,,"191,386","274,462",69.73
Broomfield County,14,,,,"40,841","57,930",70.5
Chaffee County,15,,,,"9,691","15,980",60.65
Cheyenne County,17,,,,"1,019","1,397",72.93
Clear Creek County,19,,,,"5,737","8,176",70.16
Conejos County,21,,,,"3,958","6,201",63.82
Costilla County,23,,,,"1,879","3,139",59.85
Crowley County,25,,,,"1,507","3,373",44.67
Custer County,27,,,,"2,058","4,299",47.87
Delta County,29,,,,"14,669","25,149",58.33
Denver County,31,,,,"415,656","600,097",69.26
Dolores County,33,,,,"1,068","1,653",64.6
Douglas County,35,,,,"191,030","275,461",69.35
Eagle County,37,,,,"35,830","45,739",78.34
Elbert County,39,,,,"15,556","22,760",68.35
El Paso County,41,,,,"339,316","506,315",67.02
Fremont County,43,,,,"15,462","34,800",44.43
Garfield County,45,,,,"33,093","47,955",69.01
Gilpin County,47,,,,"3,568","5,067",70.41
Grand County,49,,,,"9,784","12,968",75.45
Gunnison County,51,,,,"10,617","14,315",74.16
Hinsdale County,53,,,,480,666,72.13
Huerfano County,55,,,,"2,589","5,547",46.67
Jackson County,57,,,,823,"1,129",72.91
Jefferson County,59,,,,"331,015","478,293",69.21
Kiowa County,61,,,,746,"1,086",68.64
Kit Carson County,63,,,,"4,316","5,641",76.5
Lake County,65,,,,"4,563","6,159",74.09
La Plata County,67,,,,"32,827","47,830",68.63
Larimer County,69,,,,"201,392","288,410",69.83
Las Animas County,71,,,,"6,266","11,126",56.32
Lincoln County,73,,,,"2,492","3,562",69.96
Logan County,75,,,,"11,529","15,868",72.65
Mesa County,77,,,,"75,751","124,337",60.92
Mineral County,79,,,,414,648,63.87
Moffat County,81,,,,"7,343","10,040",73.14
Montezuma County,83,,,,"13,558","21,544",62.93
Montrose County,85,,,,"21,737","34,615",62.8
Morgan County,87,,,,"15,837","21,569",73.42
Otero County,89,,,,"8,520","14,289",59.63
Ouray County,91,,,,"2,379","4,164",57.13
Park County,93,,,,"10,259","15,566",65.91
Phillips County,95,,,,"2,289","3,300",69.37
Pitkin County,97,,,,"11,195","15,675",71.42
Prowers County,99,,,,"6,248","9,066",68.91
Pueblo County,101,,,,"76,278","134,395",56.76
Rio Blanco County,103,,,,"2,858","4,983",57.36
Rio Grande County,105,,,,"5,445","8,744",62.27
Routt County,107,,,,"15,988","21,216",75.36
Saguache County,109,,,,"3,399","5,325",63.83
San Juan County,111,,,,432,602,71.73
San Miguel County,113,,,,"5,451","6,797",80.2
Sedgwick County,115,,,,"1,170","1,851",63.18
Summit County,117,,,,"21,864","26,950",81.13
Teller County,119,,,,"12,507","21,312",58.68
Washington County,121,,,,"2,960","3,996",74.08
Weld County,123,,,,"168,679","249,001",67.74
Yuma County,125,,,,"5,474","7,633",71.71
